signature,database,buildtime,version
Win.Adware.Browsefox-42668,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388660,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42669,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42670,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388662,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388663,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388664,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388665,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388666,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388667,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388668,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221780,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42671,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42672,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42673,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42674,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-800,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-801,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-802,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1208,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388669,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388670,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388671,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Prepender-409,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Prepender-410,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Prepender-411,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ramnit-7845,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42675,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388672,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388673,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388674,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388675,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388676,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42676,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42677,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Brontok-524,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Brontok-525,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Brontok-526,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221781,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Multiplug-60223,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221782,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221783,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221784,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221785,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388677,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42678,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42679,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42680,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42681,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-17,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-18,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-803,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-804,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42682,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42683,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42684,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42685,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221786,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42686,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Brontok-527,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388678,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388679,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388680,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388681,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42687,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42688,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42689,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42690,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42692,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42693,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-805,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-806,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42694,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42695,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42696,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-19,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-20,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-22,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221787,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42697,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Virtob-3221,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Virtob-3222,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Virtob-3223,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42698,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42699,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221788,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221789,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221790,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Doboc-320,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Doboc-321,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42700,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42701,main.ldb,16 Sep 2021 08:32 -0400,62
